#empl0yee_id#,fir$t_name,l@st_name,depart_ment,job_t1tle,hire_date,salary$,performance_scor.e,leave_bal_days,recruitment_source!,time2hire_dayz,benefits_u$ed,last_perf_review,last_salary_bump,bonus_pct
1,Megan,Johnson,I.T.,S0ftware_Eng,2023-05-27,45567,Good,,Company_Site,29.7,HlthIns,2024-06-18,2022-07-02,0
2,Katherine,Bailey,Finance,S@les_Manag3r,2022-04-01,104385,Average,,Company_Site,41.4,Ret.Plan,2023-01-07,2023-09-06,20
3,Robert,Smith,Operati0ns,HR_Coord!,2021-11-21,103472.1,Good,24,LinkdIn,19,Paid_Off,2024-01-10,2023-08-03,18
4,Jonathan,Mccann,I.T.,Ops_Mng,2021-08-10,77354.7,Average,,Company_Site,16,Paid_Off,2023-12-04,2022-11-05,4
5,William,Fuentes,HR,I.T. Specialist,2016-07-27,64821.75,Poor,,Company_Site,39.6,Gym Mem,2024-08-09,2022-04-28,5
6,Richard,Jones,Customer_Support,Fin.Analyst,2019-10-28,109943,Average,,Company_Site,34,HlthIns,2024-01-21,2023-03-27,12
7,Kristen,Barry,S@les,Cust Support Rep,2018-09-12,171867.15,Average,3,Refferal,30,HlthIns,2023-11-08,2023-05-03,15
8,Kevin,Clark,I.T.,Fin.Analyst,2023-06-06,70243.95,Average,,Refferal,9.9,Gym Mem,2023-12-04,2023-11-15,12
9,Thomas,Harris,S@les,S0ftware_Eng,2016-06-12,58858,Excellent,28,Refferal,42.9,Paid_Off,2024-06-12,2023-06-18,16
10,Brandy,Nunez,Eng1neering,Market1ng Spec,2016-05-30,45283,Good,,Agen$y,47.3,Gym Mem,2023-07-30,2022-01-24,12
11,Rebecca,Mays,Operati0ns,Market1ng Spec,2020-10-23,70328.5,Poor,,Refferal,42,HlthIns,2023-12-31,2023-11-11,8
12,William,Martinez,Operati0ns,Market1ng Spec,2016-04-19,37024.35,Excellent,14,Ind33d,26.4,Gym Mem,2024-04-19,2023-08-04,24
13,Juan,Smith,I.T.,Market1ng Spec,2015-11-15,72231,Poor,4,LinkdIn,37.4,HlthIns,2024-11-15,2023-01-18,12
14,Katelyn,Wood,Operati0ns,S@les_Manag3r,2019-06-02,90252.75,Average,,Refferal,39,Gym Mem,2024-04-09,2022-07-18,24
15,Christine,Johnson,HR,HR_Coord!,2022-01-19,43661.05,Average,29,Agen$y,34.2,Paid_Off,2024-10-22,2023-05-08,6
16,John,Jacobs,I.T.,Cust Support Rep,2020-04-29,66734.85,Excellent,,Company_Site,30.8,HlthIns,2023-09-06,2023-01-28,6
17,Renee,Villarreal,Market1ng,I.T. Specialist,2021-09-03,32011.35,Average,,LinkdIn,40.7,Paid_Off,2024-02-07,2022-01-27,4
18,Tonya,Lopez,I.T.,I.T. Specialist,2017-04-10,58497.2,Average,,Ind33d,14.4,HlthIns,2024-05-16,2023-01-04,24
19,Lisa,Rodriguez,Customer_Support,Cust Support Rep,2017-06-12,36164,Excellent,,Ind33d,28.8,Ret.Plan,2023-07-31,2021-12-03,18
20,Rachel,Cooper,Operati0ns,Cust Support Rep,2018-09-28,74435.35,Average,30,Refferal,19.8,Ret.Plan,2023-06-03,2023-06-17,18
21,Kyle,Haley,HR,Cust Support Rep,2023-10-19,100036.9,Average,10,Refferal,61.6,Gym Mem,2024-10-30,2023-07-13,18
22,Jessica,Anderson,Customer_Support,Market1ng Spec,2021-05-05,84930.95,Good,,LinkdIn,47,Ret.Plan,2023-07-31,2023-05-05,20
23,Rachel,Levy,I.T.,S@les_Manag3r,2023-05-26,110083.15,Poor,,Company_Site,33,Ret.Plan,2024-11-18,2022-01-24,12
24,Gabriella,Cox,HR,Market1ng Spec,2019-09-21,113219.1,Good,3,Ind33d,12.1,Gym Mem,2024-08-03,2023-01-22,8
25,Thomas,Kennedy,S@les,Market1ng Spec,2019-11-15,68087.45,Excellent,21,Refferal,33,Gym Mem,2023-04-25,2022-08-31,6
26,Craig,Carter,I.T.,HR_Coord!,2023-10-17,110668.95,Good,,LinkdIn,29.7,Ret.Plan,2024-07-16,2022-02-20,8
27,Ryan,Giles,S@les,Cust Support Rep,2016-08-04,65484.3,Average,,Refferal,18,Paid_Off,2024-11-07,2023-09-01,6
